heures;cours.quantité;
16:35:50;16.7800;309
16:23:50;16.7800;309
16:14:12;16.7800;25
16:14:12;16.7800;63
16:14:12;16.7800;50
16:14:12;16.7800;71
16:14:12;16.7800;225
16:14:12;16.7800;95
16:14:12;16.7800;81
16:14:12;16.7800;4
16:14:12;16.7800;25
16:13:47;16.7600;90
16:13:47;16.7600;850
16:13:47;16.7600;150
16:11:59;16.7800;55
16:11:48;16.7800;10
16:11:47;16.8000;162
16:11:47;16.8000;1000
16:11:47;16.8000;392
16:11:47;16.8000;349
16:00:45;16.8200;26
15:59:54;16.8000;94
15:59:53;16.8000;47
15:56:02;16.8000;100
15:51:45;16.8000;118
15:51:42;16.8200;190
15:51:41;16.8200;125
15:51:41;16.8200;93
15:51:41;16.8200;79
15:51:41;16.8200;26
15:51:41;16.8200;13
15:51:41;16.8200;118
15:48:10;16.8400;125
15:48:10;16.8400;93
15:48:10;16.8400;95
15:48:10;16.8400;1
15:48:02;16.8400;6
15:47:19;16.8600;13
15:47:19;16.8600;13
15:34:22;16.8800;79
15:31:39;16.9000;16
15:31:39;16.9000;84
15:30:33;16.8800;16
15:30:33;16.8800;344
15:30:33;16.8800;656
15:30:32;16.9000;14
15:30:32;16.9000;16
15:30:32;16.9000;121
15:30:32;16.9000;131
15:30:32;16.9000;431
15:29:30;16.9200;26
15:20:04;16.9200;22
15:20:04;16.9200;26
15:20:04;16.9200;100
15:18:04;16.9200;101
15:18:04;16.9200;90
15:18:04;16.9200;94
15:18:04;16.9200;456
15:18:04;16.9200;224
15:18:04;16.9200;125
15:18:04;16.9200;29
15:16:03;16.9000;26
15:11:07;16.9000;100
15:08:02;16.9200;34
15:08:02;16.9200;45
15:06:09;16.9200;25
15:04:03;16.9400;22
15:03:02;16.9400;109
15:03:02;16.9400;110
15:03:02;16.9200;26
15:03:02;16.9200;159
15:00:02;16.9600;129
15:00:02;16.9600;105
15:00:02;16.9600;26
15:00:02;16.9600;43
14:57:08;16.9800;50
14:57:01;16.9800;89
14:56:40;17.0000;46
14:56:40;17.0000;100
14:49:29;17.0400;51
14:49:29;17.0400;285
14:49:29;17.0600;25
14:48:44;17.1000;49
14:48:33;17.1200;93
14:46:35;17.1200;125
14:46:35;17.1200;28
14:36:03;17.1400;75
14:34:00;17.1600;62
14:34:00;17.1600;45
14:34:00;17.1600;230
14:34:00;17.1600;222
14:34:00;17.1600;115
14:27:37;17.1600;53
14:27:37;17.1600;90
14:27:37;17.1600;104
14:27:37;17.1600;96
14:27:37;17.1600;97
14:25:27;17.1400;200
14:20:44;17.1400;200
14:19:57;17.1400;168
14:19:57;17.1400;200
14:18:13;17.1400;74
14:14:42;17.1400;23
14:14:42;17.1400;21
14:14:42;17.1400;5
13:59:52;17.1400;25
13:59:52;17.1400;68
13:59:52;17.1400;89
13:58:06;17.1400;86
13:58:06;17.1400;19
13:58:06;17.1400;98
13:58:06;17.1400;44
13:58:06;17.1400;66
13:44:06;17.1600;70
13:44:06;17.1600;330
13:44:06;17.1600;500
13:43:07;17.1400;223
13:43:07;17.1400;89
13:43:07;17.1400;101
13:38:40;17.1200;32
13:20:18;17.1200;10
13:17:08;17.1200;44
13:17:08;17.1400;120
13:10:03;17.1400;96
13:10:03;17.1400;50
13:10:03;17.1400;25
13:10:03;17.1400;92
12:41:46;17.1400;9
12:41:46;17.1400;9
12:41:46;17.1400;44
12:41:46;17.1400;121
12:39:20;17.1400;424
12:39:20;17.1400;106
12:39:20;17.1400;350
12:39:20;17.1400;89
12:39:20;17.1400;58
12:39:20;17.1400;45
12:39:20;17.1400;460
12:28:47;17.1600;37
12:27:44;17.1600;125
12:27:44;17.1600;127
12:26:01;17.1600;14
12:24:16;17.1400;1
12:24:16;17.1400;73
12:24:16;17.1400;54
12:18:48;17.1400;8
12:18:48;17.1400;7
12:15:12;17.1400;7
12:15:09;17.1200;53
12:15:09;17.1200;143
12:15:09;17.1200;150
12:07:40;17.1000;59
12:07:40;17.1000;1000
11:36:31;17.0800;42
11:36:31;17.0800;125
11:36:31;17.0800;151
11:36:31;17.0800;139
11:31:07;17.0600;95
11:31:07;17.0600;5
11:31:07;17.0600;228
11:31:07;17.0600;228
11:31:07;17.0600;6
11:24:59;17.0200;10
11:15:10;17.0400;59
11:15:10;17.0400;32
10:59:17;17.0600;343
10:59:17;17.0600;120
10:59:03;17.0400;34
10:59:03;17.0400;84
10:59:03;17.0400;1
10:59:03;17.0400;136
10:59:03;17.0400;23
10:57:07;17.0400;151
10:57:07;17.0400;1
10:57:07;17.0400;303
10:57:07;17.0400;1500
10:54:40;17.0200;56
10:54:40;17.0200;29
10:54:40;17.0200;56
10:54:40;17.0200;75
10:54:40;17.0200;221
10:54:40;17.0200;695
10:47:18;17.0200;1000
10:10:05;17.0200;105
10:10:05;17.0200;39
10:10:05;17.0200;125
10:10:05;17.0000;54
10:10:05;17.0000;39
10:10:03;16.9800;38
10:10:03;16.9800;56
10:09:46;17.0000;239
10:09:46;17.0000;40
10:09:46;17.0000;56
10:09:46;16.9800;19
10:09:46;16.9800;60
10:07:00;16.9600;186
10:07:00;16.9600;157
10:07:00;16.9600;26
10:03:32;16.9800;56
09:51:58;17.0000;75
09:51:58;17.0000;117
09:51:58;17.0000;46
09:51:58;17.0000;164
09:29:31;16.9800;28
09:29:31;16.9800;104
09:29:31;16.9800;42
09:26:03;16.9600;28
09:25:59;16.9600;28
09:25:20;16.9200;43
09:23:32;16.9400;132
09:23:23;16.9200;15
09:23:23;16.9200;71
09:23:23;16.9200;1000
09:23:23;16.9400;14
09:20:27;16.9600;30
09:20:27;16.9600;125
09:11:18;16.9800;26
09:11:18;17.0000;74
09:09:19;17.0000;14
09:07:47;16.9900;264
09:07:38;17.0000;39
09:07:38;17.0000;6
09:07:38;17.0000;10
09:07:38;17.0000;1
09:07:38;17.0000;1000
09:00:22;16.9400;179
09:00:22;16.9400;45
09:00:22;16.9400;763
09:00:22;16.9400;13
09:00:22;16.9400;45
09:00:22;16.9400;282
09:00:22;16.9400;180
09:00:22;16.9400;5
09:00:22;16.9400;163
09:00:22;16.9400;64
09:00:22;16.9400;25
09:00:22;16.9400;41
09:00:22;16.9400;231
09:00:22;16.9400;95
09:00:22;16.9400;65
09:00:22;16.9400;45
09:00:22;16.9400;83
09:00:22;16.9400;36
09:00:22;16.9400;13
09:00:22;16.9400;1
09:00:22;16.9400;2
09:00:22;16.9400;9
09:00:22;16.9400;25
09:00:22;16.9400;10
09:00:22;16.9400;2
09:00:22;16.9400;29
09:00:22;16.9400;19
09:00:22;16.9400;471
09:00:22;16.9400;252
09:00:22;16.9400;6
09:00:22;16.9400;1
09:00:22;16.9400;36
09:00:22;16.9400;214
09:00:22;16.9400;92
09:00:22;16.9400;1
