heures;cours.quantité;
17:35:17;0.0024;308333
17:35:17;0.0024;308333
17:35:17;0.0024;100000
17:35:17;0.0024;500000
17:35:17;0.0024;10000
17:35:17;0.0024;20000
17:35:17;0.0024;61667
17:35:17;0.0024;799067
17:35:17;0.0024;300000
17:35:17;0.0024;550000
17:35:17;0.0024;9000000
17:35:17;0.0024;500000
17:35:17;0.0024;500000
17:35:17;0.0024;500000
17:35:17;0.0024;500000
17:35:17;0.0024;500000
17:35:17;0.0024;500000
17:35:17;0.0024;650000
17:35:17;0.0024;87500
17:35:17;0.0024;1000000
17:35:17;0.0024;200000
17:35:17;0.0024;17666
17:35:17;0.0024;50000
17:35:17;0.0024;210000
17:35:17;0.0024;250000
17:35:17;0.0024;50000
17:35:17;0.0024;835766
17:35:17;0.0024;100000
17:35:17;0.0024;564234
17:35:17;0.0024;100000
17:35:17;0.0024;717680
17:35:17;0.0024;1079277
17:35:17;0.0024;9364079
17:35:17;0.0024;21761
17:35:17;0.0024;27154
17:35:17;0.0024;80000
17:35:17;0.0024;247211
17:35:17;0.0024;500000
17:35:17;0.0024;85000
17:35:17;0.0024;572900
17:35:17;0.0024;227100
17:35:17;0.0024;22900
17:35:17;0.0024;27100
17:35:17;0.0024;152329
17:35:17;0.0024;70571
17:35:17;0.0024;30960
17:35:17;0.0024;10000
17:35:17;0.0024;53017
17:35:17;0.0024;25000
17:35:17;0.0024;11983
17:35:17;0.0024;21751
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;1
17:35:17;0.0024;5000
17:35:17;0.0024;36555
17:35:17;0.0024;100000
17:35:17;0.0024;500000
17:29:57;0.0024;1
17:29:43;0.0024;1
17:29:29;0.0024;1
17:29:13;0.0024;1
17:29:09;0.0024;130000
17:29:06;0.0025;2500000
17:28:33;0.0024;1
17:28:32;0.0024;500000
17:27:42;0.0024;1
17:26:32;0.0024;500000
17:26:19;0.0024;100000
17:25:55;0.0024;130000
17:25:55;0.0024;200000
17:25:55;0.0024;1000000
17:25:41;0.0025;480
17:25:32;0.0024;50000
17:25:17;0.0025;129190
17:25:17;0.0025;700000
17:25:17;0.0025;41000
17:25:17;0.0025;300000
17:25:17;0.0025;40000
17:25:17;0.0025;199000
17:25:17;0.0025;100000
17:25:17;0.0025;116560
17:24:10;0.0025;50000
17:23:25;0.0024;1000000
17:22:58;0.0024;1458000
17:21:47;0.0024;54000
17:21:47;0.0024;46000
17:21:01;0.0024;1
17:20:36;0.0024;1
17:20:21;0.0024;1
17:20:05;0.0024;1
17:19:59;0.0024;3000000
17:19:50;0.0025;50000
17:19:49;0.0024;1
17:19:31;0.0024;1
17:19:13;0.0024;1
17:19:07;0.0025;120000
17:18:56;0.0024;1
17:18:52;0.0024;100000
17:18:44;0.0024;100000
17:18:38;0.0024;1
17:18:21;0.0024;1
17:18:16;0.0024;100000
17:18:05;0.0025;75000
17:17:55;0.0024;1687795
17:17:55;0.0024;2812205
17:17:42;0.0025;41666
17:17:42;0.0024;1000000
17:17:32;0.0024;1
17:17:16;0.0024;1
17:17:02;0.0025;641
17:16:49;0.0024;1
17:16:40;0.0024;500000
17:16:34;0.0024;1
17:16:33;0.0025;50000
17:16:21;0.0024;158000
17:16:21;0.0024;42000
17:16:18;0.0024;1
17:16:02;0.0024;1
17:15:38;0.0024;1
17:15:13;0.0024;1
17:14:57;0.0024;75000
17:14:56;0.0024;1
17:14:36;0.0024;1
17:13:54;0.0024;1000000
17:12:18;0.0024;700000
17:12:18;0.0024;300000
17:08:18;0.0025;150000
17:07:40;0.0025;62500
17:06:13;0.0024;10000
17:05:47;0.0024;27034
17:04:54;0.0024;200000
17:04:31;0.0024;800000
17:04:08;0.0025;1500000
17:03:59;0.0024;800000
17:03:55;0.0024;360
17:03:40;0.0024;800000
17:03:26;0.0024;175000
17:03:26;0.0024;625000
17:02:57;0.0024;800000
17:02:29;0.0024;142400
17:02:29;0.0024;450000
17:02:29;0.0024;100
17:02:29;0.0024;207500
17:00:13;0.0025;18105
16:59:59;0.0025;391304
16:57:11;0.0025;100000
16:56:46;0.0024;37818
16:56:46;0.0024;100
16:56:46;0.0024;282812
