12:08:21;9.9200;121
12:08:21;9.9200;271
12:08:20;9.9220;37
12:08:20;9.9220;594
12:08:20;9.9220;266
12:08:20;9.9220;160
12:08:20;9.9220;198
12:08:20;9.9220;116
12:08:20;9.9220;176
12:08:20;9.9220;569
12:08:14;9.9280;211
12:08:14;9.9260;50
12:08:10;9.9240;103
12:08:10;9.9240;51
12:08:02;9.9240;227
12:08:02;9.9240;387
12:08:02;9.9240;171
12:05:04;9.9220;52
12:05:04;9.9200;111
12:04:16;9.9200;376
12:01:41;9.9220;233
12:01:41;9.9220;27
12:01:35;9.9200;127
12:01:35;9.9200;176
12:01:35;9.9200;241
12:01:35;9.9200;105
12:01:27;9.9200;74
12:00:43;9.9200;47
11:59:35;9.9200;600
11:59:35;9.9200;102
11:58:48;9.9200;141
11:58:48;9.9180;186
11:58:46;9.9180;108
11:58:46;9.9180;520
11:58:25;9.9200;50
11:58:25;9.9180;592
11:58:25;9.9180;66
11:58:25;9.9180;195
11:57:21;9.9160;202
11:57:21;9.9160;120
11:56:57;9.9180;260
11:56:55;9.9170;492
11:56:55;9.9170;492
11:56:55;9.9170;492
11:56:55;9.9180;336
11:56:52;9.9170;828
11:54:55;9.9140;324
11:54:24;9.9120;754
11:53:40;9.9160;295
11:53:35;9.9140;560
11:52:55;9.9200;50
11:52:55;9.9200;382
11:52:55;9.9200;153
11:52:55;9.9200;389
11:52:55;9.9200;133
11:52:55;9.9200;436
11:52:52;9.9160;144
11:52:52;9.9160;53
11:52:52;9.9160;50
11:52:52;9.9160;460
11:52:52;9.9160;132
11:52:52;9.9160;291
11:52:52;9.9160;809
11:52:52;9.9160;200
11:52:52;9.9160;331
11:51:13;9.9180;314
11:51:08;9.9140;59
11:51:08;9.9140;1
11:51:08;9.9140;242
11:51:08;9.9140;227
11:50:47;9.9160;325
11:50:47;9.9160;188
11:50:47;9.9160;200
11:50:47;9.9160;29
11:50:47;9.9180;274
11:50:47;9.9160;237
11:50:47;9.9160;450
11:50:47;9.9180;50
11:50:43;9.9180;154
11:50:42;9.9180;180
11:50:42;9.9180;46
11:50:42;9.9180;78
11:50:42;9.9180;195
11:50:40;9.9140;36
11:50:40;9.9140;1140
11:50:40;9.9140;174
11:50:40;9.9140;452
11:50:40;9.9140;2
11:50:40;9.9140;50
11:50:40;9.9140;1009
11:50:40;9.9140;600
11:50:40;9.9140;425
11:50:40;9.9140;451
11:48:12;9.9060;50
11:47:47;9.9060;217
11:47:47;9.9060;226
11:47:47;9.9060;343
11:47:44;9.9060;1000
11:47:24;9.9040;624
11:47:24;9.9040;50
11:45:39;9.9000;50
11:45:39;9.9000;156
